ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-25882;-73.528;7.9747;Pozo de monitoreo;0.51;0.85;0.32173913;0.071794872;1.573770492;0.422535211;0.083333333
M-238830;-73.8567;7.3058;Pozo;0.11;0.23;0.543478261;0.065897436;0.87704918;0.14084507;0.104166667
M-245690;-73.3974;7.4786;Manantial;0.55;1.565;1.769565217;0.046410256;4.590163934;0.084507042;0.010416667
M-238960;-73.7708;7.3243;Pozo;0.12;0.173;0.647826087;0.093589744;1.029508197;0.092957746;0.104166667
M-26178;-73.5179;7.125;Pozo de monitoreo;0.25;1.6895;2.154782609;0.081153846;4.885245902;0.98028169;0.620833333
M-3049;-73.5994;7.9745;Pozo de monitoreo;0.23;0.575;1.2;0.048717949;1.680491803;0.045915493;0.004166667
M-0037;-73.8389;7.3657;Pozo;0.06;0.1255;0.111304348;0.037692308;0.090163934;0.092957746;0.104166667
M-3060;-73.6635;7.9776;Pozo de monitoreo;0.26;0.665;0.560869565;0.081538462;1.289180328;0.045915493;0.009375
M-246620;-73.7164;7.4358;Pozo;0.12;0.12;0.03026087;0.028717949;0.101803279;0.043098592;0.104166667
M-226170;-73.8733;7.0743;Piezometro;0.54;1.06;0.983913043;0.05025641;2.540983607;0.617464789;0.008541667
M-258100;-74.5278;6.1925;Pozo;1.24;2.34;0.591304348;0.015384615;4.838360656;0.126760563;0.083333333
M-20737;-73.8407;7.3273;Pozo;0.18;0.225;0.35;0.005;0.936065574;0.005;0.001
M-239490;-73.8115;7.3969;Pozo;0.11;0.97;0.021391304;0.031282051;0.794098361;0.036619718;0.104166667
M-0029;-73.7471;7.2908;Aljibe;0.14;0.2505;0.969565217;0.049487179;0.637704918;0.969014085;0.104166667
M-241310;-73.7471;7.2908;Aljibe;0.14;0.2505;0.969565217;0.049487179;0.637704918;0.969014085;0.104166667
